sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
2x850,2,850,3913,1.03,1455,2054,10116.1111111111,157270.666666667,78,76,5309,20828,604,19143,245,590,0,0,0,0,2x850,Lung5,neutrophil,stroma
2x851,2,851,1763,1.21,1156,2059,9817.11111111111,157275.666666667,52,43,2777,7335,535,931,276,876,0,38,370,11213,2x851,Lung5,endothelial,stroma
2x852,2,852,4321,0.44,4231,2030,12892.1111111111,157246.666666667,51,116,2571,16072,7261,65279,210,571,0,124,3494,21936,2x852,Lung5,fibroblast,tumor interior
2x853,2,853,3648,0.97,4614,2038,13275.1111111111,157254.666666667,70,72,3484,9209,17247,52332,308,792,0,187,4767,17087,2x853,Lung5,tumor 5,tumor interior
2x854,2,854,1979,1.3,983,2049,9644.11111111111,157265.666666667,70,54,3014,7096,825,3193,527,1818,0,68,16861,40224,2x854,Lung5,B-cell,stroma
2x855,2,855,2832,0.99,2925,2039,11586.1111111111,157255.666666667,67,68,3654,8672,700,1765,265,656,0,219,6499,35072,2x855,Lung5,endothelial,tumor-stroma boundary
2x856,2,856,3647,0.82,1789,2034,10450.1111111111,157250.666666667,62,76,2582,6525,480,1051,275,776,1,307,5191,33796,2x856,Lung5,plasmablast,stroma
2x857,2,857,5831,0.84,2737,2023,11398.1111111111,157239.666666667,82,98,5734,23290,587,1221,301,967,3,546,4328,41055,2x857,Lung5,plasmablast,plasmablast-enriched stroma
2x858,2,858,1419,1.21,2974,2046,11635.1111111111,157262.666666667,52,43,5609,11201,928,2278,279,640,0,78,3300,24696,2x858,Lung5,endothelial,tumor-stroma boundary
2x859,2,859,2742,0.83,1009,2026,9670.11111111111,157242.666666667,62,75,1953,6724,497,1180,332,1079,0,325,9976,38695,2x859,Lung5,fibroblast,stroma
2x860,2,860,3116,1.45,4952,2034,13613.1111111111,157250.666666667,77,53,4316,12911,1423,2736,372,873,1,185,2356,13492,2x860,Lung5,fibroblast,tumor interior
2x861,2,861,5022,0.74,1325,2013,9986.11111111111,157229.666666667,73,98,4161,11787,34327,65271,272,913,0,40,25,5936,2x861,Lung5,epithelial,stroma
2x862,2,862,6579,1.07,3376,2006,12037.1111111111,157222.666666667,121,113,3324,8426,45089,65256,442,925,6,534,8675,28869,2x862,Lung5,tumor 5,tumor-stroma boundary
2x863,2,863,2193,1.09,374,2032,9035.11111111111,157248.666666667,58,53,1842,7151,378,643,283,1313,0,123,12595,35204,2x863,Lung5,T CD4 naive,stroma
2x864,2,864,4627,2.7,4033,2019,12694.1111111111,157235.666666667,146,54,3035,11275,33774,65273,356,13257,0,233,4297,19573,2x864,Lung5,tumor 5,tumor interior
2x865,2,865,4134,0.96,5023,2018,13684.1111111111,157234.666666667,73,76,3076,7081,4168,65225,252,922,26,1096,5429,37455,2x865,Lung5,fibroblast,tumor interior
2x866,2,866,4442,0.95,3078,2012,11739.1111111111,157228.666666667,76,80,5066,13755,1564,7785,407,914,6,505,3432,35033,2x866,Lung5,plasmablast,tumor-stroma boundary
2x867,2,867,4698,1.14,4529,2003,13190.1111111111,157219.666666667,97,85,4097,7192,26746,65246,373,8263,0,167,4578,26602,2x867,Lung5,tumor 5,tumor interior
2x868,2,868,2832,0.95,1837,2012,10498.1111111111,157228.666666667,60,63,2144,6982,467,1074,381,1070,12,580,3476,31667,2x868,Lung5,plasmablast,stroma
2x869,2,869,2818,1.1,2915,2005,11576.1111111111,157221.666666667,69,63,3388,5808,786,2278,339,717,0,62,11307,38899,2x869,Lung5,endothelial,tumor-stroma boundary
2x870,2,870,4474,0.75,3427,1990,12088.1111111111,157206.666666667,82,109,3313,8973,46579,65218,454,1006,9,584,9008,28910,2x870,Lung5,tumor 5,tumor-stroma boundary
2x871,2,871,2087,1.41,1705,2018,10366.1111111111,157234.666666667,62,44,5519,18065,569,1647,213,679,0,245,123,9313,2x871,Lung5,fibroblast,stroma
